type,service,union,local,class,step,1/1/2015,4/1/2015,1/1/2016,4/1/2016,7/1/2016,1/1/2017,4/1/2017,7/1/2017,1/1/2018,4/1/2018,7/1/2018,1/1/2019,4/1/2019,7/1/2019,1/1/2020,4/1/2020,1/1/2021,4/1/2021,1/1/2022,4/1/2022,1/1/2023,4/1/2023,1/1/2024,4/1/2024,1/1/2025,4/1/2025,1/1/2026,4/1/2026,1/1/2027,1/1/2028,1/1/2029,1/1/2030
ems,Toronto,CUPE,416,Full Time PCP,Starting Wage,$35.68,,$36.04,,$36.31,$36.68,,$37.03,$37.40,,$37.68,$38.06,,$38.34,$39.11,,$39.80,,$40.50,,$41.31,,$42.13,,$43.79,,$45.50,,$47.23,$48.65,,
ems,Toronto,CUPE,416,Full Time PCP,Step 2,$36.39,,$36.75,,$37.03,$37.40,,$37.77,$38.15,,$38.43,$38.82,,$39.11,$39.87,,$40.58,,$41.30,,$42.12,,$42.96,,$44.66,,$46.40,,$48.16,$49.61,,
ems,Toronto,CUPE,416,Full Time PCP,Step 3,$37.91,,$38.29,,$38.58,$38.97,,$39.35,$39.74,,$40.04,$40.44,,$40.74,$41.55,,$42.29,,$43.04,,$43.90,,$44.77,,$46.54,,$48.35,,$50.19,$51.70,,
ems,Toronto,CUPE,416,Full Time PCP,Full Wage,$39.17,,$39.56,,$39.86,$40.26,,$40.65,$41.06,,$41.37,$41.78,,$42.09,$42.92,,$43.68,,$44.45,,$45.33,,$46.23,,$48.06,,$49.93,,$51.83,$53.38,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Toronto),Starting Wage,$37.11,,$37.48,,$37.77,$38.14,,$38.51,$38.90,,$39.19,$39.58,,$39.88,$40.67,,$41.39,,$42.12,,$42.96,,$43.81,,$45.54,,$47.32,,$49.11,$50.59,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Toronto),Step 2,$37.85,,$38.23,,$38.52,$38.91,,$39.28,$39.68,,$39.97,$40.37,,$40.68,$41.47,,$42.21,,$42.95,,$43.81,,$44.68,,$46.44,,$48.26,,$50.09,$51.59,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Toronto),Step 3,$39.43,,$39.82,,$40.13,$40.53,,$40.92,$41.33,,$41.64,$42.06,,$42.37,$43.21,,$43.97,,$44.75,,$45.64,,$46.55,,$48.39,,$50.28,,$52.19,$53.75,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Toronto),Full Wage,$40.74,,$41.15,,$41.46,$41.88,,$42.28,$42.71,,$43.03,$43.46,,$43.78,$44.64,,$45.43,,$46.23,,$47.14,,$48.09,,$49.99,,$51.94,,$53.91,$55.53,,
ems,Toronto,CUPE,416,Full Time PCP (Level II; Toronto only),Starting Wage,$39.99,,$40.39,,$40.70,$41.11,,$41.50,$41.92,,$42.23,$42.66,,$42.98,$43.82,,$44.60,,$45.39,,$46.29,,$47.21,,$49.07,,$50.99,,$52.93,$54.51,,
ems,Toronto,CUPE,416,Full Time PCP (Level II; Toronto only),Full Wage,$40.32,,$40.72,,$41.03,$41.44,,$41.85,$42.26,,$42.58,$43.01,,$43.33,$45.08,,$45.88,,$46.89,,$47.62,,$48.57,,$50.49,,$52.46,,$54.45,$56.08,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Level II; Toronto only),Starting Wage,$41.59,,$42.01,,$42.33,$42.75,,$43.16,$43.60,,$43.92,$44.36,,$44.70,$45.57,,$46.38,,$47.20,,$48.14,,$49.10,,$51.04,,$53.03,,$55.05,$56.70,,
ems,Toronto,CUPE,416,Full Time PCP FTO (Level II; Toronto only),Step 2,$42.79,,$43.22,,$43.55,$43.98,,$44.41,$44.85,,$45.19,$45.64,,$45.98,$46.88,,$47.72,,$48.56,,$49.53,,$50.52,,$52.52,,$54.56,,$56.64,$58.34,,
